connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 2.00976, 0, 0.635979, 0, 1.62125e-05, 0, 0, 0.000423193
0, 1.76068, 0, 0.884659, 0, 2.88486e-05, 0, 0, 0.000427723
0, 2.10893, 0, 0.536598, 0, 2.47955e-05, 0, 0, 0.000406742
0, 1.49145, 0, 1.1542, 0, 2.47955e-05, 0, 0, 0.000529766
0, 1.99414, 0, 0.651508, 0, 2.83718e-05, 0, 0, 0.000399351
0, 1.9807, 0, 0.664938, 0, 3.86238e-05, 0, 0, 0.000474691
0, 2.21839, 0, 0.426044, 0, 3.98159e-05, 0, 0, 0.000587225
0, 2.21576, 0, 0.428607, 0, 5.00679e-05, 0, 0, 0.000564575
0, 1.96702, 0, 0.678571, 0, 3.71933e-05, 0, 0, 0.000417709
0, 1.97991, 0, 0.665663, 0, 4.673e-05, 0, 0, 0.000455379
0, 2.2096, 0, 0.434696, 0, 6.60419e-05, 0, 0, 0.000636339
0, 2.20362, 0, 0.440801, 0, 6.12736e-05, 0, 0, 0.00048089
0, 2.00637, 0, 0.639263, 0, 4.12464e-05, 0, 0, 0.000435114
0, 2.001, 0, 0.644824, 0, 3.93391e-05, 0, 0, 0.000384808
0, 2.03052, 0, 0.615192, 0, 6.07967e-05, 0, 0, 0.000451088
0, 1.76285, 0, 0.882627, 0, 6.96182e-05, 0, 0, 0.000433207
0, 2.21809, 0, 0.426731, 0, 7.93934e-05, 0, 0, 0.000480413
0, 2.21515, 0, 0.429663, 0, 7.79629e-05, 0, 0, 0.000441074
0, 2.06208, 0, 0.583543, 0, 5.4121e-05, 0, 0, 0.000356674
0, 1.53021, 0, 1.11571, 0, 6.24657e-05, 0, 0, 0.000363111
