connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 1.95245, 0, 1.10666, 0, 1.04904e-05, 0, 0, 0.000313044
0, 1.52503, 0, 1.53461, 0, 1.38283e-05, 0, 0, 0.000484228
0, 1.96009, 0, 1.09893, 0, 1.52588e-05, 0, 0, 0.000312567
0, 1.52404, 0, 1.53551, 0, 2.07424e-05, 0, 0, 0.000459433
0, 2.56127, 0, 0.496716, 0, 2.12193e-05, 0, 0, 0.000406742
0, 2.56097, 0, 0.497111, 0, 2.26498e-05, 0, 0, 0.000478029
0, 2.53326, 0, 0.524478, 0, 2.57492e-05, 0, 0, 0.000374556
0, 2.54748, 0, 0.51032, 0, 2.45571e-05, 0, 0, 0.000503063
0, 2.567, 0, 0.490435, 0, 2.81334e-05, 0, 0, 0.000495672
0, 2.56903, 0, 0.487894, 0, 2.93255e-05, 0, 0, 0.000481367
0, 2.57359, 0, 0.484298, 0, 2.90871e-05, 0, 0, 0.000379086
0, 2.56942, 0, 0.488282, 0, 2.7895e-05, 0, 0, 0.000506163
0, 2.56852, 0, 0.488837, 0, 2.93255e-05, 0, 0, 0.000488043
0, 2.57497, 0, 0.482105, 0, 3.33786e-05, 0, 0, 0.000496864
0, 1.7272, 0, 1.33159, 0, 2.98023e-05, 0, 0, 0.000314713
0, 1.72501, 0, 1.33402, 0, 3.48091e-05, 0, 0, 0.0003407
0, 2.56681, 0, 0.490923, 0, 4.12464e-05, 0, 0, 0.000542402
0, 2.57598, 0, 0.481736, 0, 3.76701e-05, 0, 0, 0.000417471
0, 1.73328, 0, 1.32616, 0, 3.60012e-05, 0, 0, 0.000365734
0, 1.76065, 0, 1.29802, 0, 4.33922e-05, 0, 0, 0.000411034
