connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 2.46997, 0, 1.4813, 0, 6.91414e-06, 0, 0, 0.000369549
0, 3.34626, 0, 0.603744, 0, 1.33514e-05, 0, 0, 0.000447273
0, 2.52527, 0, 1.42567, 0, 1.26362e-05, 0, 0, 0.00043869
0, 3.36889, 0, 0.578285, 0, 2.5034e-05, 0, 0, 0.000447512
0, 1.37876, 0, 2.57252, 0, 1.14441e-05, 0, 0, 0.00037241
0, 2.41468, 0, 1.53202, 0, 2.16961e-05, 0, 0, 0.000543594
0, 2.62717, 0, 1.32167, 0, 2.0504e-05, 0, 0, 0.000489235
0, 2.85526, 0, 1.08532, 0, 3.05176e-05, 0, 0, 0.000472546
0, 2.02047, 0, 1.92999, 0, 2.26498e-05, 0, 0, 0.000384569
0, 2.87385, 0, 1.07328, 0, 3.40939e-05, 0, 0, 0.000453472
0, 2.02102, 0, 1.92986, 0, 2.67029e-05, 0, 0, 0.000432968
0, 2.86353, 0, 1.08352, 0, 3.86238e-05, 0, 0, 0.000608444
0, 1.3841, 0, 2.56706, 0, 2.09808e-05, 0, 0, 0.000379086
0, 2.38803, 0, 1.55887, 0, 4.19617e-05, 0, 0, 0.000534058
0, 2.61851, 0, 1.33049, 0, 3.19481e-05, 0, 0, 0.00039196
0, 2.86379, 0, 1.07684, 0, 4.41074e-05, 0, 0, 0.000592709
0, 2.02409, 0, 1.92621, 0, 3.57628e-05, 0, 0, 0.000522614
0, 2.00756, 0, 1.9435, 0, 2.7895e-05, 0, 0, 0.000309944
0, 2.86668, 0, 1.0805, 0, 4.93526e-05, 0, 0, 0.000559807
0, 2.9404, 0, 1.00956, 0, 5.126e-05, 0, 0, 0.000387907
