connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 0.906127, 0, 0.225541, 0, 1.12057e-05, 0, 0, 0.000550508
0, 0.914673, 0, 0.217053, 0, 1.09673e-05, 0, 0, 0.000519753
0, 0.91001, 0, 0.221613, 0, 1.54972e-05, 0, 0, 0.000590086
0, 0.913365, 0, 0.218512, 0, 1.85966e-05, 0, 0, 0.000515699
0, 0.762783, 0, 0.368698, 0, 2.95639e-05, 0, 0, 0.000754356
0, 0.907222, 0, 0.224543, 0, 2.07424e-05, 0, 0, 0.000582695
0, 0.911296, 0, 0.22035, 0, 2.5034e-05, 0, 0, 0.000573635
0, 0.745739, 0, 0.385861, 0, 2.47955e-05, 0, 0, 0.00060606
0, 0.748948, 0, 0.382735, 0, 3.05176e-05, 0, 0, 0.000680208
0, 0.753818, 0, 0.377913, 0, 3.33786e-05, 0, 0, 0.000657082
0, 0.906093, 0, 0.225599, 0, 2.98023e-05, 0, 0, 0.00059557
0, 0.914439, 0, 0.217278, 0, 3.74317e-05, 0, 0, 0.00059557
0, 0.740185, 0, 0.391374, 0, 3.38554e-05, 0, 0, 0.000695229
0, 0.748192, 0, 0.383429, 0, 3.6478e-05, 0, 0, 0.000588417
0, 0.754832, 0, 0.376763, 0, 4.88758e-05, 0, 0, 0.000673294
0, 0.915691, 0, 0.216208, 0, 3.40939e-05, 0, 0, 0.000522852
0, 0.921366, 0, 0.210547, 0, 3.33786e-05, 0, 0, 0.000481606
0, 0.911627, 0, 0.220148, 0, 4.33922e-05, 0, 0, 0.000597954
0, 0.754218, 0, 0.377349, 0, 5.03063e-05, 0, 0, 0.000669956
0, 0.921892, 0, 0.210069, 0, 4.41074e-05, 0, 0, 0.000555038
0, 0.915709, 0, 0.215902, 0, 4.02927e-05, 0, 0, 0.000606775
0, 0.918263, 0, 0.213238, 0, 4.91142e-05, 0, 0, 0.000611782
0, 0.751164, 0, 0.380266, 0, 5.43594e-05, 0, 0, 0.00063324
0, 0.750602, 0, 0.380955, 0, 4.81606e-05, 0, 0, 0.000665903
0, 0.75962, 0, 0.371949, 0, 6.74725e-05, 0, 0, 0.000676394
0, 0.917084, 0, 0.214741, 0, 5.14984e-05, 0, 0, 0.000484467
0, 0.924783, 0, 0.206844, 0, 5.14984e-05, 0, 0, 0.000558615
0, 0.916937, 0, 0.214588, 0, 6.96182e-05, 0, 0, 0.000633955
0, 0.759156, 0, 0.372649, 0, 6.29425e-05, 0, 0, 0.00051856
0, 0.925977, 0, 0.205885, 0, 5.91278e-05, 0, 0, 0.000499964
0, 0.747076, 0, 0.384601, 0, 6.22272e-05, 0, 0, 0.00061059
0, 0.757665, 0, 0.373793, 0, 7.79629e-05, 0, 0, 0.000669718
0, 0.74996, 0, 0.381419, 0, 7.65324e-05, 0, 0, 0.000693083
0, 0.920182, 0, 0.211748, 0, 7.53403e-05, 0, 0, 0.000578403
0, 0.925458, 0, 0.206314, 0, 7.03335e-05, 0, 0, 0.00060463
0, 0.756201, 0, 0.375516, 0, 7.79629e-05, 0, 0, 0.000604153
0, 0.921174, 0, 0.210663, 0, 7.96318e-05, 0, 0, 0.000550032
0, 0.918653, 0, 0.212827, 0, 9.89437e-05, 0, 0, 0.00067997
0, 0.925614, 0, 0.206232, 0, 9.20296e-05, 0, 0, 0.000626564
0, 0.927408, 0, 0.204499, 0, 7.51019e-05, 0, 0, 0.000515461
