connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 3.28494, 0, 0.358759, 0, 1.00136e-05, 0, 0, 0.000489235
0, 2.58803, 0, 1.05309, 0, 1.45435e-05, 0, 0, 0.00062871
0, 3.26874, 0, 0.375534, 0, 7.86781e-06, 0, 0, 0.000386477
0, 2.59467, 0, 1.04629, 0, 1.50204e-05, 0, 0, 0.000525951
0, 3.27841, 0, 0.365719, 0, 9.53674e-06, 0, 0, 0.000384092
0, 2.59086, 0, 1.04997, 0, 1.69277e-05, 0, 0, 0.000519037
0, 3.26996, 0, 0.373996, 0, 1.23978e-05, 0, 0, 0.000432968
0, 2.58282, 0, 1.0584, 0, 1.85966e-05, 0, 0, 0.000571251
0, 3.27011, 0, 0.373581, 0, 1.83582e-05, 0, 0, 0.000439405
0, 2.58695, 0, 1.05376, 0, 2.12193e-05, 0, 0, 0.000463724
0, 3.2753, 0, 0.368912, 0, 1.83582e-05, 0, 0, 0.000397921
0, 2.61945, 0, 1.02138, 0, 2.24113e-05, 0, 0, 0.000591516
0, 3.27631, 0, 0.367707, 0, 1.69277e-05, 0, 0, 0.000390291
0, 2.59089, 0, 1.04998, 0, 2.31266e-05, 0, 0, 0.000447035
0, 3.27491, 0, 0.369298, 0, 2.12193e-05, 0, 0, 0.000360012
0, 2.58326, 0, 1.05774, 0, 2.93255e-05, 0, 0, 0.000514507
0, 3.28253, 0, 0.36153, 0, 2.21729e-05, 0, 0, 0.000497818
0, 2.58139, 0, 1.05944, 0, 3.05176e-05, 0, 0, 0.000502586
0, 3.27158, 0, 0.372546, 0, 2.47955e-05, 0, 0, 0.000365973
0, 2.58834, 0, 1.05248, 0, 3.17097e-05, 0, 0, 0.000466347
0, 2.66052, 0, 0.983188, 0, 2.02656e-05, 0, 0, 0.000491142
0, 2.07771, 0, 1.56328, 0, 2.7895e-05, 0, 0, 0.000490904
0, 2.64254, 0, 1.00145, 0, 2.55108e-05, 0, 0, 0.000321865
0, 2.0702, 0, 1.57085, 0, 3.09944e-05, 0, 0, 0.00039649
0, 2.65469, 0, 0.989313, 0, 2.43187e-05, 0, 0, 0.000378132
0, 2.06893, 0, 1.57234, 0, 3.33786e-05, 0, 0, 0.000400066
0, 2.65281, 0, 0.99086, 0, 1.97887e-05, 0, 0, 0.000455379
0, 2.0776, 0, 1.56466, 0, 3.05176e-05, 0, 0, 0.000476122
0, 2.6482, 0, 0.995837, 0, 2.59876e-05, 0, 0, 0.000378609
0, 2.08716, 0, 1.55441, 0, 3.52859e-05, 0, 0, 0.000471592
0, 2.66372, 0, 0.980653, 0, 2.6226e-05, 0, 0, 0.0003407
0, 2.08851, 0, 1.55332, 0, 3.31402e-05, 0, 0, 0.000384808
0, 2.64508, 0, 0.999258, 0, 2.21729e-05, 0, 0, 0.000285625
0, 2.08502, 0, 1.55668, 0, 3.43323e-05, 0, 0, 0.00036931
0, 2.66377, 0, 0.980275, 0, 2.31266e-05, 0, 0, 0.000270128
0, 2.08178, 0, 1.56017, 0, 4.43459e-05, 0, 0, 0.000378609
