connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 1.93576, 0, 1.64734, 0, 1.23978e-05, 0, 0, 0.000630856
0, 2.4449, 0, 1.13664, 0, 1.93119e-05, 0, 0, 0.000624657
0, 2.16901, 0, 1.41358, 0, 2.21729e-05, 0, 0, 0.000628233
0, 2.56597, 0, 1.01432, 0, 4.02927e-05, 0, 0, 0.000736237
0, 2.34379, 0, 1.23879, 0, 2.57492e-05, 0, 0, 0.000634193
0, 2.33153, 0, 1.25068, 0, 3.50475e-05, 0, 0, 0.00058794
0, 2.53998, 0, 1.04152, 0, 3.95775e-05, 0, 0, 0.000720024
0, 2.8331, 0, 0.748775, 0, 3.71933e-05, 0, 0, 0.000627995
0, 2.16608, 0, 1.41639, 0, 3.33786e-05, 0, 0, 0.000590086
0, 2.19189, 0, 1.39055, 0, 3.50475e-05, 0, 0, 0.000567198
0, 2.63472, 0, 0.946149, 0, 5.48363e-05, 0, 0, 0.000848055
0, 2.58364, 0, 0.997213, 0, 5.34058e-05, 0, 0, 0.000706434
0, 2.64449, 0, 0.937997, 0, 4.29153e-05, 0, 0, 0.000576496
0, 2.84231, 0, 0.739089, 0, 5.19753e-05, 0, 0, 0.000679731
0, 2.62676, 0, 0.955828, 0, 4.76837e-05, 0, 0, 0.000582933
0, 2.75723, 0, 0.824575, 0, 4.60148e-05, 0, 0, 0.000600338
0, 1.761, 0, 1.82213, 0, 3.43323e-05, 0, 0, 0.00048542
0, 2.51795, 0, 1.06431, 0, 5.29289e-05, 0, 0, 0.000571489
0, 2.5541, 0, 1.02678, 0, 5.53131e-05, 0, 0, 0.000702143
0, 2.77869, 0, 0.802039, 0, 7.10487e-05, 0, 0, 0.000752926
0, 2.83239, 0, 0.749628, 0, 5.53131e-05, 0, 0, 0.000640154
0, 2.8305, 0, 0.751513, 0, 5.72205e-05, 0, 0, 0.000569105
0, 2.82978, 0, 0.752199, 0, 6.17504e-05, 0, 0, 0.000662565
0, 2.85682, 0, 0.725322, 0, 7.41482e-05, 0, 0, 0.000624657
0, 2.24092, 0, 1.34171, 0, 6.81877e-05, 0, 0, 0.000522614
0, 2.88905, 0, 0.691762, 0, 8.51154e-05, 0, 0, 0.000699997
0, 2.23732, 0, 1.34538, 0, 5.14984e-05, 0, 0, 0.000508547
0, 2.90119, 0, 0.679492, 0, 8.67844e-05, 0, 0, 0.000689745
0, 2.22036, 0, 1.36172, 0, 8.05855e-05, 0, 0, 0.000560284
0, 2.01803, 0, 1.5651, 0, 7.96318e-05, 0, 0, 0.000524998
0, 2.62171, 0, 0.958489, 0, 0.000113487, 0, 0, 0.000747681
0, 2.50587, 0, 1.07585, 0, 8.29697e-05, 0, 0, 0.000674963
0, 2.73258, 0, 0.849992, 0, 8.01086e-05, 0, 0, 0.000557184
0, 2.72866, 0, 0.853884, 0, 8.65459e-05, 0, 0, 0.000557661
0, 2.85903, 0, 0.722357, 0, 0.000101805, 0, 0, 0.000628948
0, 2.96151, 0, 0.619566, 0, 9.27448e-05, 0, 0, 0.000671625
0, 2.07963, 0, 1.50312, 0, 5.88894e-05, 0, 0, 0.000504255
0, 2.07633, 0, 1.5066, 0, 5.60284e-05, 0, 0, 0.000520468
0, 2.81947, 0, 0.76142, 0, 0.000110149, 0, 0, 0.000705719
0, 2.98242, 0, 0.598985, 0, 0.000113249, 0, 0, 0.000613928
