connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 1.09911, 0, 2.31927, 0, 1.04904e-05, 0, 0, 0.000527859
0, 1.19327, 0, 2.22533, 0, 1.28746e-05, 0, 0, 0.000457525
0, 1.09827, 0, 2.31973, 0, 1.66893e-05, 0, 0, 0.000521898
0, 1.18046, 0, 2.23742, 0, 2.0504e-05, 0, 0, 0.00052619
0, 1.26491, 0, 2.1536, 0, 1.78814e-05, 0, 0, 0.000538111
0, 0.958757, 0, 2.4589, 0, 3.05176e-05, 0, 0, 0.000520229
0, 1.1029, 0, 2.31543, 0, 2.19345e-05, 0, 0, 0.000514269
0, 1.18124, 0, 2.23666, 0, 2.74181e-05, 0, 0, 0.00045228
0, 0.720064, 0, 2.69814, 0, 2.16961e-05, 0, 0, 0.000476837
0, 1.7859, 0, 1.63196, 0, 2.93255e-05, 0, 0, 0.000514984
0, 1.41438, 0, 2.00254, 0, 3.6478e-05, 0, 0, 0.000651836
0, 1.40449, 0, 2.0144, 0, 3.02792e-05, 0, 0, 0.000453234
0, 0.721058, 0, 2.69715, 0, 2.36034e-05, 0, 0, 0.000440121
0, 1.77949, 0, 1.63762, 0, 3.55244e-05, 0, 0, 0.000519753
0, 1.40312, 0, 2.01587, 0, 3.48091e-05, 0, 0, 0.000452042
0, 1.41708, 0, 2.00002, 0, 3.24249e-05, 0, 0, 0.00056529
0, 1.56847, 0, 1.84714, 0, 3.76701e-05, 0, 0, 0.00061965
0, 1.57613, 0, 1.83939, 0, 3.60012e-05, 0, 0, 0.000606775
0, 1.57874, 0, 1.83716, 0, 3.88622e-05, 0, 0, 0.000588417
0, 1.58403, 0, 1.83195, 0, 3.8147e-05, 0, 0, 0.000536919
0, 2.51499, 0, 0.902594, 0, 4.07696e-05, 0, 0, 0.000670433
0, 2.51255, 0, 0.905027, 0, 4.1008e-05, 0, 0, 0.000574589
0, 2.50507, 0, 0.912995, 0, 3.67165e-05, 0, 0, 0.000527143
0, 2.50115, 0, 0.917047, 0, 4.26769e-05, 0, 0, 0.000571728
0, 2.5181, 0, 0.899612, 0, 4.41074e-05, 0, 0, 0.000574112
0, 2.51784, 0, 0.900402, 0, 4.64916e-05, 0, 0, 0.000517607
0, 2.50347, 0, 0.914785, 0, 4.52995e-05, 0, 0, 0.000545502
0, 2.50808, 0, 0.909732, 0, 5.126e-05, 0, 0, 0.000564337
0, 2.09613, 0, 1.32188, 0, 5.4121e-05, 0, 0, 0.000567913
0, 2.09607, 0, 1.322, 0, 5.26905e-05, 0, 0, 0.000526428
0, 1.67096, 0, 1.74584, 0, 7.00951e-05, 0, 0, 0.000633001
0, 2.38387, 0, 1.03479, 0, 5.84126e-05, 0, 0, 0.000454903
0, 2.50769, 0, 0.910223, 0, 5.67436e-05, 0, 0, 0.000514269
0, 2.51457, 0, 0.903517, 0, 5.76973e-05, 0, 0, 0.000554323
0, 2.51287, 0, 0.905144, 0, 5.62668e-05, 0, 0, 0.000560284
0, 2.51388, 0, 0.90396, 0, 5.55515e-05, 0, 0, 0.000583887
0, 2.09206, 0, 1.32607, 0, 5.91278e-05, 0, 0, 0.000575781
0, 2.08626, 0, 1.33201, 0, 5.05447e-05, 0, 0, 0.000500202
0, 2.09753, 0, 1.32079, 0, 7.12872e-05, 0, 0, 0.000561953
0, 2.11816, 0, 1.30009, 0, 8.15392e-05, 0, 0, 0.000530243
