connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 6.32, 0, 0.776452, 0, 1.04904e-05, 0, 0, 0.000388622
0, 6.45005, 0, 0.646435, 0, 1.35899e-05, 0, 0, 0.00032258
0, 6.10864, 0, 0.987745, 0, 1.83582e-05, 0, 0, 0.000357389
0, 6.1757, 0, 0.920519, 0, 1.71661e-05, 0, 0, 0.000391722
0, 6.12328, 0, 0.973125, 0, 2.6226e-05, 0, 0, 0.000342846
0, 6.16453, 0, 0.931764, 0, 2.59876e-05, 0, 0, 0.000328779
0, 6.11496, 0, 0.981445, 0, 2.71797e-05, 0, 0, 0.000320673
0, 6.15153, 0, 0.944803, 0, 2.71797e-05, 0, 0, 0.000380993
0, 6.11581, 0, 0.980628, 0, 3.50475e-05, 0, 0, 0.000370502
0, 6.14256, 0, 0.95369, 0, 3.40939e-05, 0, 0, 0.000386
0, 6.15296, 0, 0.943272, 0, 4.00543e-05, 0, 0, 0.000356436
0, 6.16611, 0, 0.930249, 0, 3.83854e-05, 0, 0, 0.000375986
0, 6.12772, 0, 0.968844, 0, 4.24385e-05, 0, 0, 0.000322104
0, 6.15488, 0, 0.941601, 0, 4.07696e-05, 0, 0, 0.000314951
0, 6.14067, 0, 0.955914, 0, 4.19617e-05, 0, 0, 0.000327587
0, 6.17818, 0, 0.918665, 0, 4.1008e-05, 0, 0, 0.000306845
