connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 4.50656, 0, 0.642221, 0, 1.38283e-05, 0, 0, 0.000528812
0, 4.55007, 0, 0.598778, 0, 1.28746e-05, 0, 0, 0.000463247
0, 4.53938, 0, 0.609549, 0, 1.88351e-05, 0, 0, 0.000455141
0, 4.53433, 0, 0.614301, 0, 1.95503e-05, 0, 0, 0.000453234
0, 4.5569, 0, 0.592034, 0, 2.14577e-05, 0, 0, 0.000474215
0, 4.29488, 0, 0.853912, 0, 3.09944e-05, 0, 0, 0.000532627
0, 4.3134, 0, 0.835367, 0, 3.0756e-05, 0, 0, 0.000541925
0, 4.52719, 0, 0.621656, 0, 2.74181e-05, 0, 0, 0.000485897
0, 4.32288, 0, 0.825823, 0, 3.3617e-05, 0, 0, 0.000587225
0, 4.3171, 0, 0.831538, 0, 3.45707e-05, 0, 0, 0.000587702
0, 4.55604, 0, 0.59263, 0, 3.74317e-05, 0, 0, 0.000629425
0, 4.55666, 0, 0.592659, 0, 3.48091e-05, 0, 0, 0.00045228
0, 4.30719, 0, 0.84148, 0, 4.36306e-05, 0, 0, 0.000601292
0, 4.55587, 0, 0.593104, 0, 4.52995e-05, 0, 0, 0.000515938
0, 4.53006, 0, 0.618781, 0, 3.86238e-05, 0, 0, 0.000514269
0, 4.32201, 0, 0.826666, 0, 4.79221e-05, 0, 0, 0.000594616
0, 4.35014, 0, 0.7985, 0, 5.29289e-05, 0, 0, 0.000646591
0, 4.52001, 0, 0.628973, 0, 4.50611e-05, 0, 0, 0.000475645
0, 4.55535, 0, 0.593891, 0, 3.86238e-05, 0, 0, 0.00044632
0, 4.28265, 0, 0.866122, 0, 6.07967e-05, 0, 0, 0.000533104
0, 2.06997, 0, 3.079, 0, 3.33786e-05, 0, 0, 0.000352621
0, 1.90561, 0, 3.2432, 0, 3.31402e-05, 0, 0, 0.000342369
0, 1.92696, 0, 3.22181, 0, 3.67165e-05, 0, 0, 0.000327349
0, 2.06022, 0, 3.0886, 0, 3.38554e-05, 0, 0, 0.000303984
0, 1.921, 0, 3.22787, 0, 3.79086e-05, 0, 0, 0.000320673
0, 2.07133, 0, 3.07765, 0, 4.07696e-05, 0, 0, 0.000331879
0, 2.04659, 0, 3.10259, 0, 3.02792e-05, 0, 0, 0.000353813
0, 2.06889, 0, 3.08023, 0, 3.48091e-05, 0, 0, 0.000445127
