connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 15.4501, 0, 0.606824, 0, 7.15256e-06, 0, 0, 0.000319481
0, 15.4385, 0, 0.61858, 0, 8.58307e-06, 0, 0, 0.000252485
0, 15.3577, 0, 0.699119, 0, 9.29832e-06, 0, 0, 0.000269413
0, 15.3968, 0, 0.659519, 0, 1.00136e-05, 0, 0, 0.000260115
0, 15.4003, 0, 0.655834, 0, 1.3113e-05, 0, 0, 0.000304699
0, 15.3837, 0, 0.672423, 0, 1.28746e-05, 0, 0, 0.000279188
0, 15.3413, 0, 0.715802, 0, 1.35899e-05, 0, 0, 0.000281572
0, 15.3571, 0, 0.699292, 0, 1.66893e-05, 0, 0, 0.000268936
0, 15.3412, 0, 0.71503, 0, 1.97887e-05, 0, 0, 0.000263929
0, 15.3822, 0, 0.674029, 0, 1.78814e-05, 0, 0, 0.000273705
0, 15.463, 0, 0.59417, 0, 1.81198e-05, 0, 0, 0.000267982
0, 15.3855, 0, 0.671041, 0, 2.21729e-05, 0, 0, 0.0002563
