connecting chunks, time stepping, copying borders, communicating, outputting fields, Fourier transforming, MPB, getting farfields, everything else
0, 36.1092, 0, 5.36954, 0, 6.34273e-05, 0, 0, 0.0039678
0, 35.8888, 0, 5.59035, 0, 4.26674e-05, 0, 0, 0.00339392
0, 35.9788, 0, 5.50043, 0, 5.4792e-05, 0, 0, 0.00319448
0, 33.7495, 0, 7.7298, 0, 6.07702e-05, 0, 0, 0.0029349
0, 36.187, 0, 5.29247, 0, 5.68165e-05, 0, 0, 0.00325613
0, 33.5511, 0, 7.9275, 0, 9.64312e-05, 0, 0, 0.00344863
0, 36.4089, 0, 5.06959, 0, 7.39649e-05, 0, 0, 0.00443127
0, 36.2535, 0, 5.22624, 0, 7.8327e-05, 0, 0, 0.00295509
0, 35.6282, 0, 5.85075, 0, 0.000102859, 0, 0, 0.00347908
0, 33.6581, 0, 7.82114, 0, 0.000112994, 0, 0, 0.00297594
0, 36.4945, 0, 4.98525, 0, 9.68967e-05, 0, 0, 0.00293158
0, 35.9507, 0, 5.52852, 0, 0.000108442, 0, 0, 0.00324813
0, 33.8548, 0, 7.62359, 0, 0.000136397, 0, 0, 0.00392085
0, 35.8947, 0, 5.58511, 0, 0.000118716, 0, 0, 0.00287425
0, 36.1218, 0, 5.35723, 0, 0.000125285, 0, 0, 0.00338014
0, 36.5741, 0, 4.90566, 0, 0.000115842, 0, 0, 0.0027815
